1660608000000,6.21210000,6.32090000,6.20570000,6.26080000,129978.95000000,1660608899999,815460.61333100,2654,74004.18000000,464370.78603100,0
1660608900000,6.26050000,6.26150000,6.17880000,6.18730000,154411.96000000,1660609799999,960677.20904400,2848,69114.98000000,430022.27318500,0
1660609800000,6.18730000,6.21880000,6.16600000,6.21040000,83058.36000000,1660610699999,513944.50984000,1846,46508.95000000,287753.28635900,0
1660610700000,6.21210000,6.25130000,6.20000000,6.24800000,50886.34000000,1660611599999,317075.39292300,1260,22459.21000000,139948.64868800,0
1660611600000,6.25100000,6.29450000,6.24620000,6.28100000,66409.89000000,1660612499999,416744.00281300,1647,34942.00000000,219241.72855500,0
1660612500000,6.28470000,6.31460000,6.26050000,6.27620000,72380.92000000,1660613399999,455193.94505900,1466,33174.08000000,208537.84242200,0
1660613400000,6.27560000,6.31940000,6.26760000,6.30860000,54205.88000000,1660614299999,341516.17969700,1326,24401.58000000,153751.84148600,0
1660614300000,6.30710000,6.31310000,6.23850000,6.25240000,58903.92000000,1660615199999,369105.27829100,1533,29865.14000000,187198.37680400,0
1660615200000,6.24920000,6.27880000,6.23870000,6.26060000,33189.16000000,1660616099999,207712.97329700,772,18662.95000000,116772.51540000,0
1660616100000,6.26300000,6.26750000,6.24320000,6.25760000,35347.24000000,1660616999999,221123.49177700,666,19688.79000000,123152.33140200,0
1660617000000,6.25840000,6.26580000,6.20720000,6.20790000,54775.57000000,1660617899999,341629.58146000,1194,29546.95000000,184359.21717100,0
1660617900000,6.20900000,6.21450000,6.18330000,6.19290000,80870.64000000,1660618799999,501383.62623400,1434,36043.59000000,223446.78290900,0
1660618800000,6.19340000,6.20380000,6.12760000,6.15590000,192338.44000000,1660619699999,1185553.12511500,3136,89288.86000000,550045.76230500,0
1660619700000,6.15310000,6.22530000,6.14360000,6.21090000,84051.43000000,1660620599999,519414.19488300,1682,48648.12000000,300604.39484400,0
1660620600000,6.21030000,6.26400000,6.20830000,6.25810000,56863.82000000,1660621499999,354449.95013800,1317,29570.08000000,184314.28328800,0
