1670889600000,4.40600000,4.40600000,4.34900000,4.35400000,115942.74000000,1670890499999,507437.10002000,1613,60316.13000000,263998.84697000,0
1670890500000,4.35400000,4.35700000,4.31900000,4.31900000,97197.80000000,1670891399999,421475.73586000,1318,53957.52000000,234007.85422000,0
1670891400000,4.31900000,4.35100000,4.31500000,4.33400000,70430.22000000,1670892299999,305099.80746000,907,53192.17000000,230392.73604000,0
1670892300000,4.33300000,4.34500000,4.32300000,4.33800000,40885.58000000,1670893199999,177202.92164000,508,26376.29000000,114371.28540000,0
1670893200000,4.33800000,4.34300000,4.32200000,4.33000000,30509.61000000,1670894099999,132162.75351000,555,14746.44000000,63913.01194000,0
1670894100000,4.33200000,4.33200000,4.29400000,4.31900000,72925.73000000,1670894999999,314654.01220000,1032,28123.94000000,121415.81922000,0
1670895000000,4.31800000,4.32500000,4.30300000,4.30800000,29782.45000000,1670895899999,128474.02595000,646,12178.95000000,52545.78578000,0
1670895900000,4.30900000,4.32000000,4.29700000,4.29900000,52519.53000000,1670896799999,226253.01467000,846,16030.15000000,69057.93205000,0
1670896800000,4.30200000,4.30200000,4.27400000,4.27900000,91711.47000000,1670897699999,393294.09888000,1228,33421.64000000,143317.55018000,0
1670897700000,4.27800000,4.29100000,4.26000000,4.27700000,97115.05000000,1670898599999,415398.49152000,1264,40914.86000000,175085.34812000,0
1670898600000,4.27700000,4.28800000,4.25400000,4.25500000,186719.87000000,1670899499999,797854.86066000,2091,51475.40000000,220005.53327000,0
1670899500000,4.25700000,4.27700000,4.25500000,4.26900000,79325.23000000,1670900399999,338183.96922000,1042,30943.30000000,131983.96106000,0
1670900400000,4.26900000,4.26900000,4.24300000,4.24800000,59157.08000000,1670901299999,251669.69329000,937,25270.73000000,107514.38580000,0
1670901300000,4.24900000,4.25300000,4.23200000,4.23800000,88263.97000000,1670902199999,374469.95072000,1111,34710.06000000,147280.34125000,0
1670902200000,4.23800000,4.25600000,4.21100000,4.21500000,166301.29000000,1670903099999,703957.71654000,1921,78920.14000000,334308.05974000,0
1670903100000,4.21500000,4.22700000,4.18100000,4.19000000,171365.22000000,1670903999999,720350.73217000,2397,75673.04000000,318110.79686000,0
1670904000000,4.18900000,4.18900000,4.15100000,4.16400000,199292.15000000,1670904899999,830785.61203000,2607,92063.38000000,383933.42559000,0
1670904900000,4.16400000,4.19100000,4.16300000,4.18100000,81273.56000000,1670905799999,339576.90532000,1209,32616.79000000,136301.98116000,0
1670905800000,4.18100000,4.18200000,4.16400000,4.17700000,93427.53000000,1670906699999,389957.07818000,1091,21890.24000000,91322.04056000,0
1670906700000,4.17600000,4.18200000,4.16800000,4.18100000,55000.64000000,1670907599999,229667.05631000,859,24423.38000000,101987.29478000,0
1670907600000,4.18000000,4.18000000,4.15600000,4.16500000,77646.69000000,1670908499999,323532.08816000,1084,26960.54000000,112332.45571000,0
1670908500000,4.16300000,4.16800000,4.07400000,4.09900000,421171.47000000,1670909399999,1733026.67323000,5669,188618.70000000,775943.93467000,0
1670909400000,4.09800000,4.11100000,4.07200000,4.09500000,115588.25000000,1670910299999,472644.81819000,1864,46157.65000000,188750.95607000,0
1670910300000,4.09500000,4.10900000,4.08800000,4.09700000,87518.07000000,1670911199999,358834.08436000,1259,32460.16000000,133099.85276000,0
1670911200000,4.09900000,4.10300000,4.06000000,4.06400000,116280.93000000,1670912099999,474758.13935000,1707,50907.64000000,208134.24178000,0
1670912100000,4.06500000,4.07300000,4.04200000,4.05900000,153806.31000000,1670912999999,623758.89051000,1996,57204.71000000,231953.26024000,0
1670913000000,4.05800000,4.07300000,4.01400000,4.02700000,173842.42000000,1670913899999,703194.34496000,2212,60270.80000000,243972.21434000,0
1670913900000,4.02600000,4.04400000,4.01100000,4.02700000,224447.81000000,1670914799999,903893.21248000,2567,97278.20000000,391978.07757000,0
1670914800000,4.02700000,4.03700000,3.96200000,3.97100000,250231.04000000,1670915699999,1001587.67663000,3476,102424.04000000,410163.59781000,0
1670915700000,3.97300000,3.99000000,3.94900000,3.98600000,205004.81000000,1670916599999,813003.19378000,2908,100554.12000000,398906.58185000,0
1670916600000,3.98700000,4.00000000,3.90900000,3.96100000,269237.60000000,1670917499999,1060779.65135000,3184,120194.09000000,473232.32220000,0
1670917500000,3.96000000,3.97700000,3.94300000,3.95000000,85835.37000000,1670918399999,340026.91774000,1486,48514.70000000,192261.64893000,0
1670918400000,3.95000000,3.96300000,3.92900000,3.96100000,98467.55000000,1670919299999,388992.37970000,1536,53634.16000000,211900.81779000,0
1670919300000,3.96100000,4.00000000,3.95000000,3.98800000,132443.93000000,1670920199999,526425.85427000,1805,75984.06000000,302079.25587000,0
1670920200000,3.98800000,4.00200000,3.97700000,3.99100000,189813.69000000,1670921099999,757492.99918000,1925,129518.80000000,516852.86214000,0
1670921100000,3.99000000,3.99800000,3.97100000,3.98700000,110294.96000000,1670921999999,439415.06816000,1440,59351.27000000,236500.87972000,0
1670922000000,3.98700000,4.04700000,3.98500000,4.04000000,164107.07000000,1670922899999,659896.72332000,2321,113807.19000000,457737.28577000,0
1670922900000,4.03900000,4.05900000,4.03200000,4.05800000,132468.02000000,1670923799999,536271.86725000,1691,87112.43000000,352623.75113000,0
1670923800000,4.05800000,4.06300000,4.03800000,4.04100000,100423.41000000,1670924699999,406999.03095000,1315,54824.63000000,222235.24868000,0
1670924700000,4.04200000,4.09600000,4.04100000,4.07800000,129550.43000000,1670925599999,526518.98651000,1736,86632.84000000,352129.65615000,0
1670925600000,4.07900000,4.11500000,4.05700000,4.07500000,189105.02000000,1670926499999,772248.83203000,2287,81035.36000000,331268.56273000,0
1670926500000,4.07500000,4.08400000,4.06000000,4.06700000,99327.44000000,1670927399999,404060.98641000,890,47595.17000000,193591.59677000,0
1670927400000,4.06800000,4.07700000,4.06100000,4.06900000,43957.31000000,1670928299999,178834.45737000,782,17614.93000000,71663.99069000,0
1670928300000,4.07000000,4.07300000,4.02900000,4.04100000,129726.23000000,1670929199999,524659.78020000,1574,66938.80000000,270641.56335000,0
1670929200000,4.04000000,4.06100000,4.03900000,4.06000000,55884.69000000,1670930099999,226447.84917000,918,37736.87000000,152916.68786000,0
1670930100000,4.06000000,4.08000000,4.05100000,4.05300000,90092.59000000,1670930999999,366147.24848000,1251,43958.54000000,178791.44387000,0
1670931000000,4.05400000,4.07300000,4.04400000,4.06900000,57886.48000000,1670931899999,234902.36348000,983,26400.96000000,107177.70926000,0
1670931900000,4.07000000,4.08700000,4.06000000,4.08100000,60130.27000000,1670932799999,244933.84359000,1054,32412.04000000,132018.49706000,0
1670932800000,4.08200000,4.50000000,4.07500000,4.09200000,535789.06000000,1670933699999,2226607.63646000,6499,339123.51000000,1417427.98062000,0
1670933700000,4.09300000,4.13700000,4.09300000,4.09800000,209398.38000000,1670934599999,861136.38571000,2275,94946.80000000,390374.36605000,0
1670934600000,4.09900000,4.13300000,4.09800000,4.11500000,152289.28000000,1670935499999,626930.25976000,1405,102350.11000000,421337.11355000,0
1670935500000,4.11500000,4.13000000,4.09100000,4.09300000,111627.72000000,1670936399999,458807.71502000,1379,57358.13000000,235793.78819000,0
1670936400000,4.09300000,4.10100000,4.05400000,4.07600000,147864.64000000,1670937299999,602456.42427000,1884,63313.81000000,257991.14225000,0
1670937300000,4.07600000,4.11700000,4.04700000,4.07700000,201195.90000000,1670938199999,821588.71207000,2790,116500.68000000,475882.62694000,0
1670938200000,4.07900000,4.20600000,4.07900000,4.12900000,421349.37000000,1670939099999,1743427.64300000,5548,217278.73000000,899628.68500000,0
1670939100000,4.12900000,4.15900000,4.11800000,4.13400000,176234.65000000,1670939999999,728974.61397000,1973,91898.43000000,380201.27426000,0
1670940000000,4.13300000,4.17500000,4.13300000,4.15800000,144347.42000000,1670940899999,599535.12724000,1834,94510.32000000,392594.52211000,0
1670940900000,4.15700000,4.18400000,4.14700000,4.16000000,167039.33000000,1670941799999,695704.69144000,1792,73477.52000000,305890.88132000,0
1670941800000,4.16000000,4.16000000,4.11500000,4.14800000,134657.57000000,1670942699999,556877.61580000,1638,58661.62000000,242627.77543000,0
1670942700000,4.14800000,4.16300000,4.13600000,4.15500000,92097.32000000,1670943599999,382487.18451000,1116,43667.95000000,181380.24622000,0
1670943600000,4.15500000,4.18500000,4.15500000,4.17700000,96030.08000000,1670944499999,400486.86107000,1243,51099.04000000,213072.86407000,0
1670944500000,4.17700000,4.17800000,4.14200000,4.15400000,83386.34000000,1670945399999,346485.54267000,1334,38265.16000000,159016.99047000,0
1670945400000,4.15300000,4.17200000,4.14800000,4.15900000,101245.38000000,1670946299999,421454.06610000,1072,63930.73000000,266182.90458000,0
1670946300000,4.15800000,4.16000000,4.12100000,4.12700000,63423.04000000,1670947199999,262282.24295000,1038,20510.03000000,84783.97079000,0
1670947200000,4.12500000,4.13600000,4.09300000,4.10200000,92895.33000000,1670948099999,382259.20185000,1648,33846.60000000,139244.11331000,0
1670948100000,4.10200000,4.11900000,4.08700000,4.09300000,69058.21000000,1670948999999,283281.99953000,1304,31427.97000000,128941.58649000,0
1670949000000,4.09400000,4.11500000,4.09400000,4.10600000,50118.36000000,1670949899999,205901.65245000,560,26034.12000000,106973.60090000,0
1670949900000,4.10600000,4.10900000,4.07300000,4.09000000,66685.50000000,1670950799999,272721.16743000,1005,35791.60000000,146384.62883000,0
1670950800000,4.09000000,4.09100000,4.02200000,4.02800000,142344.88000000,1670951699999,576483.32624000,2135,62874.97000000,254582.67620000,0
1670951700000,4.02800000,4.03800000,3.96900000,3.98600000,282614.44000000,1670952599999,1127492.71509000,3419,168018.28000000,670283.88678000,0
1670952600000,3.98600000,4.00500000,3.98000000,3.99100000,165928.26000000,1670953499999,662897.27185000,1807,112188.56000000,448227.40112000,0
1670953500000,3.99200000,4.01700000,3.99200000,4.01400000,123938.08000000,1670954399999,495657.08325000,1430,63989.51000000,255967.67171000,0
1670954400000,4.01400000,4.07200000,4.00000000,4.07100000,81670.18000000,1670955299999,329769.84488000,1676,46505.25000000,187803.64183000,0
1670955300000,4.07000000,4.08200000,4.05400000,4.06500000,68911.44000000,1670956199999,280537.94377000,1236,43776.66000000,178198.30206000,0
1670956200000,4.06500000,4.08800000,4.04000000,4.07200000,99194.26000000,1670957099999,403090.92470000,1585,63926.64000000,259871.99572000,0
1670957100000,4.07100000,4.07100000,4.04200000,4.05500000,133929.59000000,1670957999999,542544.64664000,2479,70856.90000000,287021.98329000,0
1670958000000,4.05400000,4.06400000,4.04400000,4.04900000,44081.29000000,1670958899999,178759.62384000,801,19759.27000000,80134.38155000,0
1670958900000,4.04900000,4.06500000,4.04000000,4.06100000,24049.58000000,1670959799999,97481.83443000,543,16137.12000000,65429.89960000,0
